Method:GET; URL:/vendors/progressbar.js/progressbar.min.js.map; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 0 ms
Method:GET; URL:/vendors/moment/moment.min.js.map; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 0 ms
Method:GET; URL:/input-job-order; Status:304; Message: Not Modified; DateTime: 24/12/2024; ResponseTime: 2532 ms
Method:GET; URL:/input-job-order; Status:200; Message: OK; DateTime: 24/12/2024; ResponseTime: 2751 ms
Method:GET; URL:/input-job-order; Status:200; Message: OK; DateTime: 24/12/2024; ResponseTime: 2287 ms
Method:GET; URL:/input-job-order; Status:200; Message: OK; DateTime: 24/12/2024; ResponseTime: 2849 ms
Method:GET; URL:/vendors/core/perfect-scrollbar.min.js.map; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 3 ms
Method:GET; URL:/vendors/progressbar.js/progressbar.min.js.map; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 0 ms
Method:GET; URL:/vendors/moment/moment.min.js.map; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 0 ms
Method:GET; URL:/input-job-order; Status:200; Message: OK; DateTime: 24/12/2024; ResponseTime: 2660 ms
Method:GET; URL:/vendors/core/perfect-scrollbar.min.js.map; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 0 ms
Method:GET; URL:/vendors/progressbar.js/progressbar.min.js.map; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 0 ms
Method:GET; URL:/vendors/moment/moment.min.js.map; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 0 ms
Method:GET; URL:/input-job-order; Status:200; Message: OK; DateTime: 24/12/2024; ResponseTime: 2836 ms
Method:GET; URL:/vendors/core/perfect-scrollbar.min.js.map; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 0 ms
Method:GET; URL:/vendors/progressbar.js/progressbar.min.js.map; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 0 ms
Method:GET; URL:/vendors/moment/moment.min.js.map; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 0 ms
Method:POST; URL:/marketing/input-job-order; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 0 ms
Method:GET; URL:/input-job-order; Status:200; Message: OK; DateTime: 26/12/2024; ResponseTime: 2862 ms
Method:GET; URL:/vendors/core/perfect-scrollbar.min.js.map; Status:404; Message: Not Found; DateTime: 26/12/2024; ResponseTime: 1 ms
Method:GET; URL:/vendors/progressbar.js/progressbar.min.js.map; Status:404; Message: Not Found; DateTime: 26/12/2024; ResponseTime: 0 ms
Method:GET; URL:/vendors/moment/moment.min.js.map; Status:404; Message: Not Found; DateTime: 26/12/2024; ResponseTime: 0 ms
Method:GET; URL:/marketing/input-job-order; Status:404; Message: Not Found; DateTime: 27/12/2024; ResponseTime: 3 ms
Method:GET; URL:/; Status:200; Message: OK; DateTime: 27/12/2024; ResponseTime: 187 ms
Method:GET; URL:/vendors/core/perfect-scrollbar.min.js.map; Status:404; Message: Not Found; DateTime: 27/12/2024; ResponseTime: 1 ms
Method:GET; URL:/vendors/progressbar.js/progressbar.min.js.map; Status:404; Message: Not Found; DateTime: 27/12/2024; ResponseTime: 0 ms
Method:GET; URL:/; Status:304; Message: Not Modified; DateTime: 27/12/2024; ResponseTime: 613 ms
Method:GET; URL:/vendors/core/perfect-scrollbar.min.js.map; Status:404; Message: Not Found; DateTime: 27/12/2024; ResponseTime: 0 ms
Method:GET; URL:/vendors/progressbar.js/progressbar.min.js.map; Status:404; Message: Not Found; DateTime: 27/12/2024; ResponseTime: 0 ms
Method:GET; URL:/; Status:200; Message: OK; DateTime: 27/12/2024; ResponseTime: 39 ms
Method:GET; URL:/vendors/core/perfect-scrollbar.min.js.map; Status:404; Message: Not Found; DateTime: 27/12/2024; ResponseTime: 0 ms
Method:GET; URL:/vendors/progressbar.js/progressbar.min.js.map; Status:404; Message: Not Found; DateTime: 27/12/2024; ResponseTime: 0 ms
Method:GET; URL:/; Status:304; Message: Not Modified; DateTime: 27/12/2024; ResponseTime: 9 ms
Method:GET; URL:/vendors/core/perfect-scrollbar.min.js.map; Status:404; Message: Not Found; DateTime: 27/12/2024; ResponseTime: 0 ms
Method:GET; URL:/vendors/progressbar.js/progressbar.min.js.map; Status:404; Message: Not Found; DateTime: 27/12/2024; ResponseTime: 0 ms
Method:GET; URL:/input-job-order; Status:200; Message: OK; DateTime: 27/12/2024; ResponseTime: 5636 ms
Method:GET; URL:/marketing/input-job-order; Status:404; Message: Not Found; DateTime: 27/12/2024; ResponseTime: 5 ms
Method:GET; URL:/; Status:200; Message: OK; DateTime: 27/12/2024; ResponseTime: 262 ms
Method:GET; URL:/input-job-order; Status:200; Message: OK; DateTime: 27/12/2024; ResponseTime: 9756 ms
Method:GET; URL:/; Status:200; Message: OK; DateTime: 27/12/2024; ResponseTime: 92 ms
Method:GET; URL:/vendors/core/perfect-scrollbar.min.js.map; Status:404; Message: Not Found; DateTime: 27/12/2024; ResponseTime: 0 ms
Method:GET; URL:/vendors/progressbar.js/progressbar.min.js.map; Status:404; Message: Not Found; DateTime: 27/12/2024; ResponseTime: 0 ms
Method:GET; URL:/; Status:200; Message: OK; DateTime: 27/12/2024; ResponseTime: 127 ms
Method:GET; URL:/vendors/core/perfect-scrollbar.min.js.map; Status:404; Message: Not Found; DateTime: 27/12/2024; ResponseTime: 4 ms
Method:GET; URL:/vendors/progressbar.js/progressbar.min.js.map; Status:404; Message: Not Found; DateTime: 27/12/2024; ResponseTime: 1 ms
Method:GET; URL:/input-job-order; Status:undefined; Message: undefined; DateTime: 27/12/2024; ResponseTime: NaN ms
Method:GET; URL:/input-job-order; Status:200; Message: OK; DateTime: 27/12/2024; ResponseTime: 3363 ms
Method:GET; URL:/vendors/core/perfect-scrollbar.min.js.map; Status:404; Message: Not Found; DateTime: 27/12/2024; ResponseTime: 0 ms
Method:GET; URL:/vendors/moment/moment.min.js.map; Status:404; Message: Not Found; DateTime: 27/12/2024; ResponseTime: 0 ms
Method:GET; URL:/vendors/progressbar.js/progressbar.min.js.map; Status:404; Message: Not Found; DateTime: 27/12/2024; ResponseTime: 0 ms
Method:GET; URL:/; Status:304; Message: Not Modified; DateTime: 27/12/2024; ResponseTime: 16 ms
Method:GET; URL:/vendors/core/perfect-scrollbar.min.js.map; Status:404; Message: Not Found; DateTime: 27/12/2024; ResponseTime: 1 ms
Method:GET; URL:/vendors/progressbar.js/progressbar.min.js.map; Status:404; Message: Not Found; DateTime: 27/12/2024; ResponseTime: 0 ms
Method:GET; URL:/input-job-order; Status:304; Message: Not Modified; DateTime: 27/12/2024; ResponseTime: 4145 ms
Method:GET; URL:/vendors/core/perfect-scrollbar.min.js.map; Status:404; Message: Not Found; DateTime: 27/12/2024; ResponseTime: 0 ms
Method:GET; URL:/vendors/progressbar.js/progressbar.min.js.map; Status:404; Message: Not Found; DateTime: 27/12/2024; ResponseTime: 0 ms
Method:GET; URL:/vendors/moment/moment.min.js.map; Status:404; Message: Not Found; DateTime: 27/12/2024; ResponseTime: 0 ms
Method:GET; URL:/vendors/core/perfect-scrollbar.min.js.map; Status:404; Message: Not Found; DateTime: 27/12/2024; ResponseTime: 0 ms
Method:GET; URL:/vendors/progressbar.js/progressbar.min.js.map; Status:404; Message: Not Found; DateTime: 27/12/2024; ResponseTime: 0 ms
Method:GET; URL:/vendors/core/perfect-scrollbar.min.js.map; Status:404; Message: Not Found; DateTime: 27/12/2024; ResponseTime: 0 ms
Method:GET; URL:/vendors/progressbar.js/progressbar.min.js.map; Status:404; Message: Not Found; DateTime: 27/12/2024; ResponseTime: 0 ms
Method:GET; URL:/vendors/moment/moment.min.js.map; Status:404; Message: Not Found; DateTime: 27/12/2024; ResponseTime: 0 ms
